Name,Parent Color,Hex Code,Rgb,Lab
DarkOliveGreen ,Green,0x556B2F ,"85, 107, 47","42.234, -18.8283, 30.5967"
MediumAquamarine ,Green,0x66CDAA ,"102, 205, 170","75.6931, -38.3325, 8.3025"
DarkSeaGreen ,Green,0x8FBC8B ,"143, 188, 139","72.0075, -24.5072, 20.0733"
LightSeaGreen ,Green,0x20B2AA ,"32, 178, 170","65.7877, -37.5083, -6.3362"
DarkCyan ,Green,0x008B8B ,"0, 139, 139","52.2075, -30.6152, -9.0026"
Teal ,Green,0x008080 ,"0, 128, 128","48.2561, -28.8415, -8.481"
Aqua ,Blue,0x00FFFF ,"0, 255, 255","91.1165, -48.0796, -14.1381"
Cyan ,Blue,0x00FFFF ,"0, 255, 255","91.1165, -48.0796, -14.1381"
LightCyan ,Blue,0xE0FFFF ,"224, 255, 255","97.8682, -9.9392, -3.3847"
PaleTurquoise ,Blue,0xAFEEEE ,"175, 238, 238","90.0614, -19.6333, -6.4084"
Aquamarine ,Blue,0x7FFFD4 ,"127, 255, 212","92.0362, -45.5207, 9.7117"
Turquoise ,Blue,0x40E0D0 ,"64, 224, 208","81.2671, -44.0763, -4.0344"
MediumTurquoise ,Blue,0x48D1CC ,"72, 209, 204","76.8835, -37.3546, -8.361"
DarkTurquoise ,Blue,0x00CED1 ,"0, 206, 209","75.2931, -40.0365, -13.5193"
CadetBlue ,Blue,0x5F9EA0 ,"95, 158, 160","61.1546, -19.6754, -7.4267"
SteelBlue ,Blue,0x4682B4 ,"70, 130, 180","52.4674, -4.0702, -32.1982"
LightSteelBlue ,Blue,0xB0C4DE ,"176, 196, 222","78.4523, -1.2758, -15.2199"
PowderBlue ,Blue,0xB0E0E6 ,"176, 224, 230","86.1336, -14.0877, -8.0161"
LightBlue ,Blue,0xADD8E6 ,"173, 216, 230","83.8141, -10.8861, -11.4854"
SkyBlue ,Blue,0x87CEEB ,"135, 206, 235","79.209, -14.8322, -21.2846"
LightSkyBlue ,Blue,0x87CEFA ,"135, 206, 250","79.725, -10.8233, -28.5104"
DeepSkyBlue ,Blue,0x00BFFF ,"0, 191, 255","72.5492, -17.648, -42.5483"
DodgerBlue ,Blue,0x1E90FF ,"30, 144, 255","59.3817, 9.9698, -63.395"
CornflowerBlue ,Blue,0x6495ED ,"100, 149, 237","61.9282, 9.3428, -49.3062"
RoyalBlue ,Blue,0x4169E1 ,"65, 105, 225","47.8328, 26.2743, -65.2706"
Blue ,Blue,0x0000FF ,"0, 0, 255","32.3026, 79.1967, -107.8637"
MediumBlue ,Blue,0x0000CD ,"0, 0, 205","24.9762, 67.1837, -91.503"
DarkBlue ,Blue,0x00008B ,"0, 0, 139","14.7573, 50.4288, -68.6831"
Navy ,Blue,0x000080 ,"0, 0, 128","12.9752, 47.5084, -64.7043"
MidnightBlue ,Blue,0x191970 ,"25, 25, 112","15.8596, 31.7202, -49.5781"
Cornsilk ,Brown,0xFFF8DC ,"255, 248, 220","97.4553, -2.2138, 14.2843"
BlanchedAlmond ,Brown,0xFFEBCD ,"255, 235, 205","93.9195, 2.1339, 17.0172"
Bisque ,Brown,0xFFE4C4 ,"255, 228, 196","92.0124, 4.4345, 19.0032"
NavajoWhite ,Brown,0xFFDEAD ,"255, 222, 173","90.1001, 4.5129, 28.2645"
Wheat ,Brown,0xF5DEB3 ,"245, 222, 179","89.3507, 1.5143, 23.9999"
BurlyWood ,Brown,0xDEB887 ,"222, 184, 135","77.0169, 7.0526, 30.0125"
Tan ,Brown,0xD2B48C ,"210, 180, 140","74.9745, 5.0237, 24.4215"
RosyBrown ,Brown,0xBC8F8F ,"188, 143, 143","63.6061, 17.0168, 6.6018"
SandyBrown ,Brown,0xF4A460 ,"244, 164, 96","73.9515, 23.0306, 46.7872"
Goldenrod ,Brown,0xDAA520 ,"218, 165, 32","70.8157, 8.5249, 68.7645"
DarkGoldenrod ,Brown,0xB8860B ,"184, 134, 11","59.2185, 9.8659, 62.7341"
Peru ,Brown,0xCD853F ,"205, 133, 63","61.7517, 21.3986, 47.9166"
Chocolate ,Brown,0xD2691E ,"210, 105, 30","55.986, 37.0585, 56.7438"
SaddleBrown ,Brown,0x8B4513 ,"139, 69, 19","37.4669, 26.4466, 40.9857"
Sienna ,Brown,0xA0522D ,"160, 82, 45","43.7961, 29.3273, 35.6361"
Brown ,Brown,0xA52A2A ,"165, 42, 42","37.5218, 49.6998, 30.5402"
Maroon ,Brown,0x800000 ,"128, 0, 0","25.5308, 48.0553, 38.0598"
White ,White,0xFFFFFF ,"255, 255, 255","100.0, 0.0053, -0.0104"
Snow ,White,0xFFFAFA ,"255, 250, 250","98.6437, 1.662, 0.577"
HoneyDew ,White,0xF0FFF0 ,"240, 255, 240","98.5658, -7.5604, 5.4658"
MintCream ,White,0xF5FFFA ,"245, 255, 250","99.1566, -4.158, 1.2364"
Azure ,White,0xF0FFFF ,"240, 255, 255","98.9328, -4.8752, -1.6983"
AliceBlue ,White,0xF0F8FF ,"240, 248, 255","97.1789, -1.3431, -4.2731"
GhostWhite ,White,0xF8F8FF ,"248, 248, 255","97.7573, 1.2526, -3.3559"
WhiteSmoke ,White,0xF5F5F5 ,"245, 245, 245","96.5375, 0.005, -0.01"
SeaShell ,White,0xFFF5EE ,"255, 245, 238","97.1211, 2.1669, 4.5441"
Beige ,White,0xF5F5DC ,"245, 245, 220","95.9489, -4.189, 12.0399"
OldLace ,White,0xFDF5E6 ,"253, 245, 230","96.7797, 0.1753, 8.1566"
FloralWhite ,White,0xFFFAF0 ,"255, 250, 240","98.4014, -0.0318, 5.3663"
Ivory ,White,0xFFFFF0 ,"255, 255, 240","99.6398, -2.5469, 7.1529"
AntiqueWhite ,White,0xFAEBD7 ,"250, 235, 215","93.7308, 1.8426, 11.5169"
Linen ,White,0xFAF0E6 ,"250, 240, 230","95.3112, 1.6822, 6.0123"
LavenderBlush ,White,0xFFF0F5 ,"255, 240, 245","96.0684, 5.8928, -0.6042"
MistyRose ,White,0xFFE4E1 ,"255, 228, 225","92.6556, 8.7522, 4.8256"
Gainsboro ,Gray,0xDCDCDC ,"220, 220, 220","87.7609, 0.0047, -0.0093"
LightGray ,Gray,0xD3D3D3 ,"211, 211, 211","84.5561, 0.0045, -0.009"
Silver ,Gray,0xC0C0C0 ,"192, 192, 192","77.7044, 0.0043, -0.0084"
DarkGray ,Gray,0xA9A9A9 ,"169, 169, 169","69.2378, 0.004, -0.0076"
Gray ,Gray,0x808080 ,"128, 128, 128","53.5851, 0.0027, -0.0061"
DimGray ,Gray,0x696969 ,"105, 105, 105","44.4135, 0.0031, -0.0056"
LightSlateGray ,Gray,0x778899 ,"119, 136, 153","55.9174, -2.2433, -11.1146"
SlateGray ,Gray,0x708090 ,"112, 128, 144","52.8363, -2.1386, -10.5774"
DarkSlateGray ,Gray,0x2F4F4F ,"47, 79, 79","31.256, -11.7167, -3.7274"
Black ,Gray,0x000000 ,"0, 0, 0","0.0, 0.0, 0.0"
